,Type,SMS
581,ham,huh early ü dinner outsid izzit
582,ham,ok anyway need chang said
583,spam,tri contact repli offer min textand new video phone call repli free deliveri tomorrow
584,ham,exwif wa abl kid want kid one day
585,ham,scotland hope show jjc tendenc take care live dream
586,ham,tell u headach want use hour sick time
587,ham,dun thk quit yet hmmm go jazz yogasana oso go meet em lesson den
588,ham,pete pleas ring meiv hardli gotani credit
589,ham,ya srsli better yi tho
590,ham,meet call later
591,spam,ur chanc win wkli shop spree txt shop c wwwtxtshopcom custcar xpwk
592,spam,special select receiv pound award call befor line close cost ppm cs appli ag promo
593,spam,privat account statement show unredeem point call identifi code expir
594,ham,still grand prix
595,ham,met stranger choos friend long world stand friendship never end let friend forev gud nitz
596,ham,great
597,ham,gud mrng dear nice day
598,spam,import custom servic announc call freephon
599,ham,wa exhaust train thi morn much wine pie sleep well
600,ham,go buy mum present ar
601,ham,mind blastin tsunami occur rajnik stop swim indian ocean
602,ham,u send home first ok lor readi yet
603,ham,speak doe ani cash yet
604,ham,happi come noon
605,ham,meet lunch la
606,ham,take care n get well soon
607,spam,xclusiv clubsaisai morow soire special zouk nichol parisfre rose ladi info
608,ham,meant say cant wait see u get bore thi bridgwat banter
609,ham,neva mind ok
610,ham,fine imma get drink somethin want come find
611,spam,day kick euro u kept date latest news result daili remov send get txt stop
612,ham,valentin game send di msg ur friend answer r someon realli love u ques colour suit best rpli
613,ham,mani depend
614,ham,thanx today cer wa nice catch ave find time often oh well take care c u soonc
615,ham,call said choos thi futur
616,ham,happi valentin day know earli hundr handsom beauti wish thought finish aunti uncl st
617,ham,like v shock leh co tell shuhui like tell leona also like dat almost know liao got ask abt ur reaction lor
618,ham,famili happiness
619,ham,come n pick ü come immedi aft ur lesson
620,ham,let snow let snow thi kind weather bring ppl togeth friendship grow
621,ham,dear got lt gt dollar hi hi
622,ham,good word word may leav u dismay mani time
623,ham,make sure alex know hi birthday fifteen minut far concern
624,ham,sorri got thing may pub later
625,ham,nah straight bring bud drink someth actual littl use straight cash
626,ham,haha good hear offici paid market th
627,ham,mani lick doe take get center tootsi pop
628,ham,yup thk r e teacher said make face look longer darren ask cut short
629,spam,new textbuddi chat horni guy ur area p free receiv search postcod gaytextbuddycom txt one name
630,spam,today vodafon number end select receiv award number match call receiv award
631,ham,pleas dont say like hi hi hi
632,ham,thank u
633,ham,oh wa forward messag thought send
634,ham,got seventeen pound seven hundr ml hope ok
635,spam,dear voucher holder claim thi week offer pc go http wwwetlpcoukexpressoff ts cs apply stop text txt stop
636,ham,n funni
637,ham,sweetheart hope kind day one load reason smile biola
638,ham,ü login dat time dad fetch ü home
639,ham,shower babi
640,ham,askd u question hour befor answer
641,ham,well imma definit need restock befor thanksgiv let know
642,ham,said kiss kiss ca nt sound effect gorgeou man nt kind person need smile brighten hi day
643,ham,probabl gon na swing wee bit
644,ham,ya veri nice readi thursday
645,ham,allo brave buse taken train triumph mean b ham jolli good rest week
646,ham,watch cartoon listen music amp eve go templ amp church u
647,ham,mind ask happen dont say uncomfort
648,spam,privat account statement show unredeem point call identifi code expir
649,ham,prob send email
650,spam,cash prize claim call c rstm sw ss ppm
651,ham,cool sometim slow gentl sonetim rough hard
652,ham,gon na say sorri would normal start panic time sorri see tuesday
653,ham,wait know wesley town bet doe hella drug
654,ham,fine miss veri much
655,ham,u got person stori
656,ham,tell drug dealer get impati
657,ham,sun cant come earth send luv ray cloud cant come river send luv rain cant come meet u send care msg u gud evng
658,ham,place man
659,ham,doesnt make sens take unless free need know wikipediacom
660,spam,premium phone servic call
661,ham,sea lay rock rock envelop envelop paper paper word
662,ham,mum repent
663,ham,sorri go home first daddi come fetch ü later
664,ham,leav de start prepar next
665,ham,ye babi studi posit kama sutra
666,ham,en chikku nang bakra msg kalstiyathen teacoffe
667,ham,carlo minut still need buy
668,ham,thi pay lt decim gt lakh
669,ham,good even ttyl
670,ham,u receiv msg
671,ham,ho ho big belli laugh see ya tomo
672,spam,sm ac sun post hello seem cool want say hi hi stop send stop
673,spam,get ur st rington free repli thi msg tone gr top tone phone everi week per wk opt send stop
674,ham,ditto wo nt worri say anyth anymor like said last night whatev want peac
675,ham,got lt gt ani way could pick
676,ham,dont knw pa drink milk
677,ham,mayb say hi find got hi card great escap wetherspoon
678,ham,piggi r u awak bet u still sleep go lunch
679,ham,caus freaki lol
680,ham,miss call caus wa yell scrappi miss u ca nt wait u come home lone today
681,ham,thi hex place talk explain
682,ham,ü log wat sdrybi
683,ham,xy go e lunch
684,spam,hi sue year old work lapdanc love sex text live bedroom text sue textoper g da ppmsg
685,ham,want ask ü wait finish lect co lect finish hour anyway
686,ham,finish work yet
687,ham,everi king wa onc cri babi everi great build wa onc map imprtant u r today u wil reach tomorw gud ni
688,ham,dear cherthalain case u r come cochin pl call bfore u starti shall also reach accordinglyor tell day u r comingtmorow engag holiday
689,ham,thank love torch bold
690,spam,forward pleas call immedi urgent messag wait
691,ham,wa farm open
692,ham,sorri troubl u buy dad big small sat n sun thanx
693,ham,sister law hope great month say hey abiola
694,ham,purchas stuff today mail po box number
695,ham,ah poop look like ill prob send laptop get fix cuz ha gpu problem
696,ham,good good job like entrepreneur
697,ham,aight close still around alex place
698,ham,meet corpor st outsid gap see mind work
699,ham,mum ask ü buy food home
700,ham,ku also dont msg repli hi msg
701,ham,much r ü pay
702,ham,sorri call later
703,ham,import prevent dehydr give enough fluid
704,ham,bit weird even suppos happen good idea sure pub
705,ham,true deari sat pray even felt soso sm time
706,ham,nt think get away trek long famili town sorri
707,ham,wan na gym harri
708,ham,quit late lar ard anyway wun b drivin
709,spam,review keep fantast nokia ngage game deck club nokia go wwwcnupdatescomnewslett unsubscrib alert repli word
710,spam,mth half price orang line rental latest camera phone free phone mths call mobilesdirect free updat orstoptxt cs
711,ham,height confid aeronaut professor wer calld amp wer askd sit aeroplan aftr sat wer told dat plane ws made student dey hurri plane bt onli didnt move said made student thi wont even start datz confidence
712,ham,seem like weird time night g want come smoke day shitstorm attribut alway come make everyon smoke
713,spam,ampm cost p
714,ham,save stress person ha dorm account send account detail money sent
715,ham,also know lunch menu onli da know
716,ham,stuff sell ill tell
717,spam,urgent thi nd attempt contact u u call b csbcmwcnxx callcost ppm mobilesvari max
718,ham,book lesson msg call work sth go get spec membership px
719,spam,guarante cash prize claim yr prize call custom servic repres ampm
720,ham,macha dont feel upseti assum mindsetbeliev one even wonder plan uslet life begin againcal anytim
721,ham,oh send address
722,ham,sfine anytim best
723,ham,wondar full flim
724,ham,ya even cooki jelli
725,ham,world run stillmayb feel itor admit madthen correct let call thi lifeand keep run world may u r also runninglet run
726,ham,got look scrumptiou daddi want eat night long
727,ham,co lar ba dao ok pm lor u never ask go ah said u would ask fri said u ask today
728,ham,alright omw got ta chang order halfth
729,ham,exactli anyway far jide studi visit
730,ham,dunno u ask
731,spam,email alertfrom jeri stewarts kbsubject lowcost prescripiton drvgsto listen email call
732,ham,nt spring come earli yay
733,ham,lol wo nt feel bad use money take steak dinner
734,ham,even u dont get troubl convincingjust tel onc twice tel neglect hi msg dont c read itjust dont repli
735,ham,leav qatar tonit search opportunityal went fastpl add ur prayer dearrakhesh
736,ham,whi one talk
737,ham,thank look realli appreci
738,spam,hi custom loyalti offer new nokia mobil onli txtauction txt word start get ctxt tc pmtmsg
739,ham,wish
740,ham,haha mayb u rite u know well da feel like someon gd lor u faster go find one gal group attach liao
741,ham,ye glad made
742,ham,well littl time thing good time ahead
743,ham,got room veri soon nt put clock back til shout everyon get realis wa wahay anoth hour bed
744,ham,ok may free gym
745,ham,men like shorter ladi gaze hi eye
746,ham,dunno ju say go lido time
747,ham,promis take good care princess run pleas send pic get chanc ttyl
748,spam,u subscrib best mobil content servic uk per day send stop helplin
749,ham,reason spoken thi year anyway great week best exam
750,ham,monday next week give full gist
751,spam,realiz year thousand old ladi run around tattoo
752,spam,import custom servic announc premier
753,ham,dont gim lip caveboy
754,ham,get librari
755,ham,reali sorryi nt recognis thi number confus r u pleas
756,ham,whi didnt holla
757,ham,cant think anyon spare room top head
758,ham,faith make thing possibl hope make thing work love make thing beauti may three thi christma merri christma
759,ham,u made appoint
760,ham,call youcarlo isar phone vibrat act might hear text
761,spam,romant pari night flight book next year call cs appli
762,ham,grandma oh dear u still ill felt shit thi morn think hungov anoth night leav sat
763,spam,urgent ur guarante award still unclaim call closingdate claimcod mm pmmorefrommobilebremovedmobypoboxlsyf
764,ham,noth ju tot u would ask co u ba gua went mt faber yest yest ju went alreadi mah today go ju call lor
765,ham,wish famili merri x happi new year advance
766,spam,ur award citi break could win summer shop spree everi wk txt store skilgm tscswinawk age perwksub
767,ham,nt goin got somethin unless meetin dinner lor haha wonder go ti time
768,ham,sorri call later
769,ham,cant pick phone right pl send messag
770,ham,lol know dramat school alreadi close tomorrow appar ca nt drive inch snow suppos get
771,ham,get anywher thi damn job hunt
772,ham,lol u drunkard hair moment yeah still tonight wat plan
773,ham,idc get weasel way thi shit twice row
774,ham,wil lt gt minut got ani space
775,ham,sleepingand surf
776,ham,thank pick trash
777,ham,whi nt go tell friend sure want live becaus smoke much spend hour beg come smoke
778,ham,hi kate wa love see tonight ill phone tomorrow got sing guy gave hi card xxx
779,ham,happi new year dear brother realli miss got number decid send thi text wish onli happi abiola
780,ham,mean get door
781,ham,opinion jada kusruthi lovabl silent spl charact matur stylish simpl pl reply
782,ham,hmmm thought said hour slave late punish
783,ham,beerag
784,spam,import custom servic announc premier call freephon
785,ham,dont think turn like randomlli within min open
786,ham,wa suppos could nt make still town though
787,ham,doe time fix spell sometim get complet diff word go figur
788,spam,ever thought live good life perfect partner txt back name age join mobil commun psm
789,spam,free top polyphon tone call nation rate get toppoli tune sent everi week text subpoli per pole unsub
